Model Name,# Clusters,Silhouette Score,Calinski-Hara Score
KMEANS,100,0.28900618620117013,174.11473320681927
KMEANS,150,0.33663443724216774,141.1364302377851
KMEANS,200,0.3632726882315469,119.02711969086532
KMEANS,250,0.3819595491912353,104.75365783672619
KMEANS,300,0.4073825961142072,94.73639831160288
KMEANS,350,0.41767618019242214,85.99541408948036
KMEANS,400,0.42085832264487055,79.63269716577307
MEANSHIFT,5,0.21037476276429748,2.5269003841773894
BIRCH,100,0.2559179924924564,152.09493523039146
BIRCH,150,0.292541819038859,120.49797365575103
BIRCH,200,0.3156932096211464,101.96099435136395
BIRCH,250,0.34238283701058325,91.95440708397295
BIRCH,300,0.36137558157665556,83.53674194998305
BIRCH,350,0.3737927874553886,76.66680061401819
BIRCH,400,0.3855361054063242,71.37511632757135
AGGLOMERATIVE,100,0.173758188214584,114.5443371754382
AGGLOMERATIVE,150,0.2033934298414124,91.51458878781222
AGGLOMERATIVE,200,0.2156401041435486,74.5174880267136
AGGLOMERATIVE,250,0.22910759013293913,66.61130967563618
AGGLOMERATIVE,300,0.2738833480203141,63.94812168813941
AGGLOMERATIVE,350,0.3044987638458711,61.33603919882302
AGGLOMERATIVE,400,0.3340530591953128,60.45148404339769
AGGLOMERATIVE_EUCLID,100,0.2581390369467642,151.42079324011925
AGGLOMERATIVE_EUCLID,150,0.308603945841527,122.71667731973251
AGGLOMERATIVE_EUCLID,200,0.34574710342952425,106.24233665499258
AGGLOMERATIVE_EUCLID,250,0.371904544658079,95.33210352298761
AGGLOMERATIVE_EUCLID,300,0.39431767371309395,87.46558121719336
AGGLOMERATIVE_EUCLID,350,0.41320044781567494,81.44730714057566
AGGLOMERATIVE_EUCLID,400,0.42933227132082596,76.68731952333098
AGGLOMERATIVE_L1,100,0.12639077986578767,90.41184093998763
AGGLOMERATIVE_L1,150,0.16790746198099232,76.42528659616545
AGGLOMERATIVE_L1,200,0.19049020708395936,66.75075823876017
AGGLOMERATIVE_L1,250,0.2245834995062932,61.8235267671827
AGGLOMERATIVE_L1,300,0.24379788049132414,57.06711376506843
AGGLOMERATIVE_L1,350,0.2523508283474999,52.705004686723
AGGLOMERATIVE_L1,400,0.27150318552129304,50.97988414569615
AGGLOMERATIVE_L2,100,0.12639077986578767,90.41184093998763
AGGLOMERATIVE_L2,150,0.16790746198099232,76.42528659616545
AGGLOMERATIVE_L2,200,0.19049020708395936,66.75075823876017
AGGLOMERATIVE_L2,250,0.2245834995062932,61.8235267671827
AGGLOMERATIVE_L2,300,0.24379788049132414,57.06711376506843
AGGLOMERATIVE_L2,350,0.2523508283474999,52.705004686723
AGGLOMERATIVE_L2,400,0.27150318552129304,50.97988414569615
AGGLOMERATIVE_MAN,100,0.12639077986578767,90.41184093998763
AGGLOMERATIVE_MAN,150,0.16790746198099232,76.42528659616545
AGGLOMERATIVE_MAN,200,0.19049020708395936,66.75075823876017
AGGLOMERATIVE_MAN,250,0.2245834995062932,61.8235267671827
AGGLOMERATIVE_MAN,300,0.24379788049132414,57.06711376506843
AGGLOMERATIVE_MAN,350,0.2523508283474999,52.705004686723
AGGLOMERATIVE_MAN,400,0.27150318552129304,50.97988414569615
