Model Name                     # Clusters                     Silhouette Score               Calinski-Hara Score           
KMEANS                         100                            0.18739148087306243            16.37836523494329             
KMEANS                         150                            0.22670648725704556            14.022377521289586            
KMEANS                         200                            0.24498085790013063            12.891700017064217            
KMEANS                         250                            0.25629328233947507            12.568335225336135            
KMEANS                         300                            0.26978815485109714            12.501886785406528            
MEANSHIFT                        5                            0.21037476276429748            2.5269003841773894            
BIRCH                            100                            0.1961101043869309             16.776241888167974            
BIRCH                            150                            0.22060980425346832            14.455827513795754            
BIRCH                            200                            0.23148170705622864            13.017137545355439            
BIRCH                            250                            0.23862616521184132            12.292543459622522            
BIRCH                            300                           0.24927815097667586            12.293058823046806
AGGLOMERATIVE             100                           0.14473412861694981            14.535364357888353            
AGGLOMERATIVE             150                            0.2215615169489194             14.039587047981234            
AGGLOMERATIVE             200                            0.22945499501124067            12.174382512240538            
AGGLOMERATIVE             250                            0.2657586869746833             12.484958717314111            
AGGLOMERATIVE             300                            0.282279606772595              12.437411572419233                        
AGGLOMERATOVE_EUCLID           100                            0.22315856961139063            18.131668372025402            
AGGLOMERATOVE_EUCLID           150                            0.2536684231734997             15.699169657970687            
AGGLOMERATOVE_EUCLID           200                            0.2777846792114323             14.557303272794803            
AGGLOMERATOVE_EUCLID           250                            0.29531067172884584            13.863109751818408            
AGGLOMERATOVE_EUCLID           300                            0.31279712590584074            14.036392335849644            
